date,positive_count,positive_score,negative_count,negative_score,total_count,total_score
2016-10-29,2,0.625,385,0.1539999993,387,0.3202607074
2016-10-30,103,0.7295145572,475,0.2920631565,578,0.3294444436
2016-10-31,60,0.6521666666,190,0.264210526,250,0.4207633573
2016-11-01,132,0.603030305,5,0.2380000025,137,0.435641023
2016-11-02,70,0.6660000009,50,0.2386000019,120,0.2883064507
2016-11-03,94,0.6648936151,84,0.2946428557,178,0.2549574091
2016-11-04,103,0.6832038847,154,0.2049999998,257,0.2353369757
2016-11-05,11,0.6800000017,199,0.2775879376,210,0.3450358668
2016-11-06,125,0.6851199989,64,0.3062500006,189,0.3007439443
2016-11-07,43,0.6481395392,49,0.3265306093,92,0.352636654
2016-11-08,56,0.6844642833,12,0.1541666696,68,0.3769424447
2016-11-09,143,0.641748252,43,0.3567441849,186,0.3843373461
2016-11-10,141,0.6978723428,32,0.2843749973,173,0.4163929588
2016-11-11,105,0.6799047527,251,0.2516733062,356,0.5266842124
2016-11-12,7,0.5614285639,81,0.304567902,88,0.2946031757
2016-11-13,71,0.6978873258,69,0.2652173932,140,0.37032258
2016-11-14,69,0.6392753539,64,0.2832812489,133,0.4229807698
2016-11-15,112,0.6608928554,20,0.2179999992,132,0.5223076963
2016-11-16,100,0.6190000021,61,0.2722950852,161,0.3677551037
2016-11-17,152,0.6956578964,61,0.2914754106,213,0.441404493
2016-11-18,155,0.6676129037,159,0.2653459114,314,0.4249800834
2016-11-19,25,0.7079999924,84,0.3334523806,109,0.3104955757
2016-11-20,116,0.6627586217,48,0.3295833288,164,0.4097638887
2016-11-21,53,0.7122641487,68,0.293676472,121,0.3765201466
2016-11-22,171,0.6342105231,10,0.375,181,0.3485714304
2016-11-23,61,0.7255737674,97,0.1848453613,158,0.569084964
2016-11-24,131,0.6850381735,105,0.2531428573,236,0.4436111103
2016-11-25,41,0.6975609733,88,0.3448863622,129,0.3887062945
2016-11-26,6,0.8333333234,101,0.2566336614,107,0.3786617087
2016-11-27,50,0.615400002,47,0.2700000025,97,0.5196202523
2016-11-28,87,0.70735632,43,0.2253488385,130,0.5682236841
2016-11-29,50,0.7121999991,5,0.4799999893,55,0.4056521763
2016-11-30,129,0.6810852714,91,0.2205494483,220,0.6010714275
2016-12-01,165,0.7548484799,81,0.2787654324,246,0.4929333346
2016-12-02,52,0.682307695,211,0.2772511832,263,0.3306188916
2016-12-04,25,0.7579999924,110,0.2890000008,135,0.519821429
2016-12-05,115,0.6694782672,111,0.3293693694,226,0.5557142879
